0	16.0
154	15.0
183	10.0
221	14.0
243	12.0
1	20.0
186	6.0
247	1.0
2	11.0
151	10.0
237	9.0
3	11.0
132	10.0
137	2.0
224	11.0
4	19.0
6	1.0
143	1.0
7	3.0
126	13.0
136	17.0
8	17.0
117	17.0
138	17.0
9	6.0
114	18.0
200	18.0
219	16.0
10	16.0
207	6.0
11	6.0
202	15.0
238	10.0
12	13.0
146	13.0
13	17.0
140	20.0
201	6.0
14	9.0
177	18.0
220	2.0
223	6.0
15	16.0
148	7.0
171	7.0
225	3.0
16	5.0
190	2.0
17	12.0
149	10.0
194	13.0
18	18.0
111	19.0
218	1.0
19	11.0
156	19.0
180	2.0
20	18.0
197	2.0
22	4.0
118	14.0
128	19.0
240	2.0
23	7.0
144	12.0
155	4.0
24	18.0
124	19.0
25	2.0
26	17.0
113	20.0
153	12.0
226	17.0
27	12.0
142	5.0
184	19.0
214	12.0
29	3.0
173	17.0
196	8.0
231	12.0
30	19.0
232	6.0
32	18.0
152	16.0
205	1.0
33	6.0
235	14.0
250	14.0
34	10.0
145	20.0
254	15.0
35	13.0
174	17.0
228	19.0
37	10.0
133	2.0
167	3.0
38	12.0
39	5.0
162	16.0
40	2.0
108	1.0
193	20.0
41	8.0
239	16.0
42	6.0
209	10.0
212	12.0
43	10.0
141	18.0
222	4.0
44	8.0
131	20.0
45	7.0
166	1.0
46	18.0
47	19.0
215	16.0
48	4.0
49	15.0
50	16.0
51	13.0
188	11.0
52	8.0
230	3.0
53	16.0
109	5.0
135	10.0
161	3.0
54	10.0
233	7.0
55	16.0
248	9.0
56	2.0
119	1.0
210	5.0
57	10.0
206	19.0
60	13.0
61	8.0
203	12.0
253	3.0
62	12.0
120	16.0
236	16.0
65	5.0
178	17.0
66	3.0
123	1.0
175	1.0
216	16.0
68	13.0
70	20.0
72	5.0
112	19.0
160	5.0
73	10.0
242	7.0
74	4.0
181	1.0
75	11.0
189	11.0
77	11.0
78	20.0
122	17.0
79	13.0
164	3.0
80	6.0
110	9.0
81	5.0
82	2.0
213	5.0
249	5.0
255	5.0
83	9.0
84	5.0
130	4.0
85	1.0
86	9.0
121	4.0
229	17.0
87	7.0
88	3.0
89	15.0
